epoch,train_total,train_mse,train_ic,val_total,val_mse,val_ic
1,0.9223304867744446,0.29641279876232146,0.0016215618921556988,0.9449241459369659,0.2561749368906021,-0.048617045478187015
2,0.5338536262512207,0.14640035033226012,0.07494710046674152,0.627352237701416,0.12561383843421936,0.08502794910989794
3,0.376247501373291,0.09055039957165718,0.04933074694332823,0.35777346789836884,0.0943191759288311,-0.004948470943514024
4,0.2523332148790359,0.0750545784831047,0.0941389830585992,0.25492314994335175,0.0720335990190506,0.08007265279702826
5,0.18377552330493926,0.05848253145813942,0.1425345300511492,0.17401690781116486,0.0608957763761282,0.12575890018359895
6,0.1283310502767563,0.04899240732192993,0.23438067357680015,0.1269552931189537,0.052952663972973824,0.22052495980181486
7,0.09846679121255875,0.04589492157101631,0.30610320337108315,0.10487562790513039,0.04720078594982624,0.29277399640650953
8,0.0912563145160675,0.047571081668138504,0.27771971670188017,0.09465718269348145,0.05094391666352749,0.28069989192268474
9,0.0820410579442978,0.04427803456783295,0.23970964802238592,0.08632410690188408,0.04676653631031513,0.22537900323478202
10,0.07600264996290207,0.046020648628473285,0.21462650525249702,0.08387656137347221,0.053219448775053024,0.1909160381721473
11,0.06772668361663818,0.04437361508607864,0.2477237689361361,0.07241477817296982,0.04968510381877422,0.23512484816761306
12,0.06140841245651245,0.04222598969936371,0.29695576254757217,0.0642756000161171,0.045954588800668716,0.2864816200138127
13,0.05673808827996254,0.04179225042462349,0.3487758379921688,0.06097756698727608,0.045470425859093666,0.337018326419182
14,0.052598395943641664,0.04053141921758652,0.3765928778636137,0.05511600710451603,0.04302763380110264,0.36680153343418215
15,0.04891066923737526,0.03877020254731178,0.4023966410928535,0.05120973475277424,0.04067608527839184,0.3878908661295544
16,0.04643257260322571,0.03741736486554146,0.42993982449360985,0.04899343103170395,0.03912493214011192,0.4019923335311732
17,0.04490819573402405,0.037345181405544284,0.4467783116452663,0.04748279042541981,0.03947337530553341,0.41487079926500997
18,0.042208743095397946,0.03559292629361153,0.46461927080558557,0.04412256181240082,0.03773985244333744,0.4212664705102406
19,0.04150013402104378,0.0357857383787632,0.47642748672199714,0.04431641660630703,0.038058748468756676,0.43096399936733726
20,0.03995177745819092,0.03485377877950668,0.4912107944649159,0.04280456714332104,0.03749226778745651,0.4364035899486787
