epoch,train_total,train_mse,train_rmse,train_mae,train_smape,val_total,val_mse,val_rmse,val_mae,val_smape,L_intra,L_attn,L_temp
1,0.050576767728974424,0.050576767728974424,0.223235138952048,0.184668538471063,36.92301419576009,0.04113942491963054,0.04113942491963054,0.20183915462577873,0.16879681486523512,31.917215260592375,0.0,0.0,0.0
2,0.04528278219513595,0.04528278219513595,0.21190789400991594,0.1777855522930622,35.71654221216838,0.04088440678562179,0.04088440678562179,0.20121257021919203,0.1676790602505207,31.674494830044832,0.0,0.0,0.0
3,0.044297922185311714,0.044297922185311714,0.20966439514235502,0.17521422058343888,35.30218421618144,0.04235269465116841,0.04235269465116841,0.20465111028595082,0.16746478606805656,31.419665249911223,0.0,0.0,0.0
4,0.043650384650876124,0.043650384650876124,0.20799083552349654,0.1740585500995318,35.12218983968099,0.043225073255598545,0.043225073255598545,0.20690473494693112,0.17353215486262785,32.899804259791516,0.0,0.0,0.0
5,0.04308080637517075,0.04308080637517075,0.20634158412279202,0.17323609665036202,35.028608814875284,0.04085393763627067,0.04085393763627067,0.20114551504448505,0.16711041940884155,31.599619778719816,0.0,0.0,0.0
6,0.04286195738241076,0.04286195738241076,0.2060236329890344,0.17286877172688644,34.9919991016388,0.04176785077222369,0.04176785077222369,0.20332001074458267,0.16777833460858374,31.57607497590961,0.0,0.0,0.0
7,0.04214684415298204,0.04214684415298204,0.20426183412659416,0.17099159893890223,34.67853749593099,0.041523488774669895,0.041523488774669895,0.20265741512708857,0.16738922137654189,31.561627821488813,0.0,0.0,0.0
8,0.04112465825552742,0.04112465825552742,0.20189061346171366,0.16873458673556646,34.28852151234945,0.043339472518048504,0.043339472518048504,0.2070260758201194,0.17016037463238745,32.04125093691277,0.0,0.0,0.0
9,0.04011135254986584,0.04011135254986584,0.1990742367669107,0.16592697830249867,33.8627098719279,0.042859171009199185,0.042859171009199185,0.20595632406748646,0.17221270219394655,32.675950454943106,0.0,0.0,0.0
10,0.039117643733819325,0.039117643733819325,0.19675771257246602,0.16395421419292688,33.515660826365156,0.04345974393866279,0.04345974393866279,0.207263168231114,0.17232077489748146,32.64614475134647,0.0,0.0,0.0
11,0.03840747340582311,0.03840747340582311,0.19483331544444088,0.16183940544724465,33.203527275721235,0.049652357924390926,0.049652357924390926,0.22176952942654987,0.18482073622219491,35.311851703759395,0.0,0.0,0.0
12,0.03646698050821821,0.03646698050821821,0.18980687318325168,0.15770537896702688,32.54978995323181,0.04776333975182338,0.04776333975182338,0.21755670632012417,0.18023613727453983,34.1855607177272,0.0,0.0,0.0
13,0.03495805162626008,0.03495805162626008,0.18598719062872654,0.15354565562059483,31.78754431406657,0.04719874626872214,0.04719874626872214,0.21606898300767483,0.17810184226343126,33.73551053711862,0.0,0.0,0.0
14,0.033262371690943836,0.033262371690943836,0.18123008466307855,0.14939705201735098,31.105768982569376,0.04517259680186257,0.04517259680186257,0.2115102967811945,0.17283965410156685,32.50265936418013,0.0,0.0,0.0
15,0.03167493980533133,0.03167493980533133,0.17665063441713377,0.1449800825988253,30.326591539382935,0.048173774485335205,0.048173774485335205,0.21840428229749795,0.1796377899520325,34.044325308366254,0.0,0.0,0.0
16,0.030575030809268357,0.030575030809268357,0.17388296072629583,0.14183008273442585,29.68848417599996,0.04970902495199081,0.04970902495199081,0.221731589723231,0.1809638345783407,33.962284579421535,0.0,0.0,0.0
17,0.028753886627964676,0.028753886627964676,0.16831760114034458,0.1365135229503115,28.838657506306966,0.05129111710597168,0.05129111710597168,0.2253714915009893,0.1840316459085002,34.55446211496989,0.0,0.0,0.0
18,0.027092051110230386,0.027092051110230386,0.16327450881055564,0.13276214891423782,28.245623731613158,0.04949412195745743,0.04949412195745743,0.22125635285753484,0.18012361668727614,33.54795097582268,0.0,0.0,0.0
19,0.025674817237692573,0.025674817237692573,0.15930039272236624,0.12853456748028597,27.318106094996136,0.050856697909308204,0.050856697909308204,0.2243079332835643,0.18228508261117068,34.366070198290274,0.0,0.0,0.0
20,0.023730305947052936,0.023730305947052936,0.1530650929050755,0.12316497291127841,26.470381100972492,0.0545563730552341,0.0545563730552341,0.2323475063589583,0.18949571387334305,35.91514269510905,0.0,0.0,0.0
21,0.021881965408101677,0.021881965408101677,0.1467248149857231,0.11772492950161298,25.290978630383808,0.05719111938819741,0.05719111938819741,0.23774368821438016,0.19373968108133835,37.09733101815888,0.0,0.0,0.0
22,0.021105604028950134,0.021105604028950134,0.14433602370992232,0.11559108663350344,24.978689893086752,0.05431563130608111,0.05431563130608111,0.23181299246009554,0.18725410600503287,34.855257814580746,0.0,0.0,0.0
23,0.01950563444600751,0.01950563444600751,0.1384261843257212,0.11084377542138099,24.01019135316213,0.056510433103099014,0.056510433103099014,0.23644015430261017,0.19253487478603015,36.64685853322347,0.0,0.0,0.0
24,0.017931988497730346,0.017931988497730346,0.1324437800951925,0.10606873339662949,23.084258310000102,0.060159162815773125,0.060159162815773125,0.24385058109459554,0.19940116798335855,37.9244591106068,0.0,0.0,0.0
25,0.016745284587765735,0.016745284587765735,0.1279280628553014,0.1013045858591795,22.148467675844827,0.06318165768276561,0.06318165768276561,0.2498661659634228,0.20341355421326376,39.56654109376849,0.0,0.0,0.0
