epoch,train_total,train_mse,train_rmse,train_mae,train_smape,val_total,val_mse,val_rmse,val_mae,val_smape,L_intra,L_attn,L_temp
1,0.07390815084800124,0.07390815084800124,0.2690274016828465,0.22705859442551932,63.11793686548869,0.06532462246038696,0.06532462246038696,0.2544183935494191,0.2190447896718979,57.1393441286954,0.0,0.0,0.0
2,0.059537580655887726,0.059537580655887726,0.24272984389764735,0.20363904225329557,58.337141291300455,0.06339040466330269,0.06339040466330269,0.25024636084878465,0.21295158948862192,54.485295324614555,0.0,0.0,0.0
3,0.058214144812275964,0.058214144812275964,0.24009043820151696,0.20162478536367417,58.1939902305603,0.06016715359168522,0.06016715359168522,0.2439027778383539,0.20975162156603552,54.73834751591538,0.0,0.0,0.0
4,0.05639391499571502,0.05639391499571502,0.23626606820318452,0.1965965596338113,57.21564168930054,0.05942549491583398,0.05942549491583398,0.2423229107149245,0.20593997678070358,53.83521597313158,0.0,0.0,0.0
5,0.055697819342215855,0.055697819342215855,0.23492626438172204,0.1951111047839125,56.99233627319336,0.05931792673513745,0.05931792673513745,0.24195666780295155,0.2061935164260142,53.84195498264197,0.0,0.0,0.0
6,0.05461975019425154,0.05461975019425154,0.2324573525334424,0.1936142104367415,56.68438781102498,0.05899503951271375,0.05899503951271375,0.24122470572334523,0.20343154894583154,53.451203953136094,0.0,0.0,0.0
7,0.05328018623404205,0.05328018623404205,0.22896422253265689,0.18996393345296383,56.06709626515706,0.06299607721016262,0.06299607721016262,0.24913576938415774,0.20729176767847754,53.65265314506762,0.0,0.0,0.0
8,0.051538663016011316,0.051538663016011316,0.2253488325419756,0.1865424307063222,55.17869475682576,0.05818189691865083,0.05818189691865083,0.23968366079707795,0.2026053588047172,53.893326152454726,0.0,0.0,0.0
9,0.050301174819469455,0.050301174819469455,0.22317154978037398,0.1834646485745907,54.646612612406415,0.05972236821032835,0.05972236821032835,0.24269724469426582,0.20471971301418362,53.89993179205692,0.0,0.0,0.0
10,0.04871292249299586,0.04871292249299586,0.21931667285373674,0.18126801997423173,54.375186888376874,0.06441941693650954,0.06441941693650954,0.25185686817233427,0.20966484058987012,53.96064940365878,0.0,0.0,0.0
11,0.04661686366113524,0.04661686366113524,0.2143629057485397,0.1753969540198644,53.12510290145874,0.0718048753386194,0.0718048753386194,0.2659894036718521,0.22177556089379571,55.49033627365575,0.0,0.0,0.0
12,0.045033835293725136,0.045033835293725136,0.21086002432334153,0.17198781277984382,52.720396502812704,0.06126456194077477,0.06126456194077477,0.2459806714308634,0.208879241437623,55.73741658528646,0.0,0.0,0.0
