epoch,train_total,train_mse,train_ic,val_total,val_mse,val_ic
1,0.38053661584854126,0.12010716497898102,-0.11662140695376029,0.27678902447223663,0.08996949717402458,-0.035385174334025715
2,0.23430287837982178,0.08316653668880462,-0.06374534999388604,0.20172513276338577,0.0725424587726593,0.036015742855726424
3,0.16287249326705933,0.0736015111207962,-0.008489820255194229,0.14400258660316467,0.06305623799562454,0.05636875251932085
4,0.11038337051868438,0.06024869680404663,0.04560615739913443,0.10114472359418869,0.05792956426739693,0.04351171081769947
5,0.09822661578655242,0.06395881548523903,0.07364711863526217,0.10001273453235626,0.06793396174907684,0.08071363904126509
6,0.08406396508216858,0.05903444439172745,0.09684010168837313,0.07860016077756882,0.053333813324570656,0.10600521014920902
7,0.07225715965032578,0.05141768530011177,0.10386895607194534,0.07125328853726387,0.050997618585824966,0.11175578448814413
8,0.0682237260043621,0.051482196897268295,0.14450227343745384,0.0709805078804493,0.05319218151271343,0.1460664846936038
9,0.0581806905567646,0.04483285620808601,0.21188368950557637,0.05917135812342167,0.0463761892169714,0.2036499902548809
10,0.055025073885917666,0.043806133419275285,0.23029084848174225,0.054884158074855804,0.04353432171046734,0.24829084045342134
11,0.0546866700053215,0.04473899975419045,0.2269559687535344,0.05184352397918701,0.04183097183704376,0.27455485917015565
12,0.05282953232526779,0.04394082427024841,0.20697542716642375,0.050937479361891747,0.04235861636698246,0.2795154314970808
13,0.05168895348906517,0.043925320357084276,0.19578705210094147,0.05119430832564831,0.04344036057591438,0.2726276101890689
14,0.050858502835035325,0.044007746130228044,0.19211323316362855,0.04984201118350029,0.043062688782811165,0.2720592664147149
15,0.05010115131735802,0.04399092346429825,0.1941421241735602,0.0486199576407671,0.042684949934482574,0.27109630416042185
16,0.04903072565793991,0.043596170097589496,0.2019618875316402,0.048131903633475304,0.04288630001246929,0.2741338263204648
17,0.047994571179151534,0.04320161044597626,0.2166265424923727,0.04759443365037441,0.04276486486196518,0.27985897719037195
18,0.047047488391399384,0.04267865791916847,0.2335169779596009,0.047579098492860794,0.04323048144578934,0.28605214872537443
