year,mse,rmse,mae,smape,ic
2022,0.04119715467095375,0.2029708222157898,0.17170682549476624,31.86524200439453,0.20965697983089518
2023,0.043111205101013184,0.20763237970271683,0.17350885272026062,31.53046989440918,0.09151909050474943
2024,0.04476774483919144,0.21158389551001144,0.17834173142910004,32.329429626464844,0.06744959679264793
