epoch,train_total,train_mse,train_ic,val_total,val_mse,val_ic
1,0.9879741191864013,0.3388412445783615,-0.016337691515195152,0.9939160346984863,0.28525200486183167,-0.007370061374396025
2,0.5719502925872803,0.16048063039779664,0.0021436663480555443,0.6915599405765533,0.16843045502901077,0.048537180077598184
3,0.39591123461723327,0.08516614437103272,-0.0014816387201451405,0.38871219754219055,0.08567899465560913,-0.012070777511272359
4,0.3415167212486267,0.07648229300975799,0.04405507284816694,0.3243027478456497,0.06210067309439182,0.023698343558639236
5,0.28432000875473024,0.06064411103725433,0.02048690555831042,0.272662490606308,0.055984221398830414,0.01987300244958144
6,0.24293506145477295,0.054814127087593076,0.03210724897491672,0.2418523207306862,0.05397360771894455,0.01902708310633289
7,0.20153388381004333,0.05455441251397133,0.029738528325271414,0.20965581387281418,0.05272885970771313,0.01969471939812347
8,0.1619842529296875,0.05349629521369934,0.05932591593076483,0.16158179193735123,0.04944051429629326,0.08526470152336792
9,0.1292014941573143,0.05301556289196015,0.11099949853310964,0.12074819207191467,0.0474898274987936,0.0860189703133518
10,0.10539467334747314,0.04980195462703705,0.1347205751243807,0.10299049317836761,0.04622066020965576,0.11665869934020023
11,0.09620904624462127,0.05076907202601433,0.12018764453833136,0.09081592410802841,0.04586993530392647,0.11595509655107308
12,0.09198946505784988,0.052152137458324435,0.11890109396785865,0.08666696399450302,0.04561891779303551,0.10751507026515648
13,0.08422141671180725,0.04860854148864746,0.11358867856448589,0.08039381355047226,0.04672103375196457,0.09035555151579837
14,0.08093017637729645,0.04882939159870148,0.11403046179291099,0.08113281428813934,0.04960428737103939,0.0855144814651208
15,0.07861948013305664,0.04832605868577957,0.114463006607616,0.07781463116407394,0.04855564050376415,0.08661846149572294
16,0.07765249013900757,0.04822328239679337,0.1149445878403812,0.07658304274082184,0.04724051430821419,0.0909793662259796
17,0.07726642042398453,0.04825747087597847,0.11040579267657243,0.074875608086586,0.04719657823443413,0.09262138723551691
