epoch,train_total,train_mse,train_rmse,train_mae,train_smape,val_total,val_mse,val_rmse,val_mae,val_smape,L_intra,L_attn,L_temp
1,0.09676964459940791,0.09676964459940791,0.2990065301027308,0.24885649171968302,68.127787621816,0.0657072351173018,0.0657072351173018,0.25503299177368394,0.21773396522709818,55.34990067915483,0.0,0.0,0.0
2,0.06250585236897072,0.06250585236897072,0.24844113546137533,0.20794800582031409,59.4997838973999,0.0643264011225917,0.0643264011225917,0.25203744951850815,0.21225063593098611,55.971714655558266,0.0,0.0,0.0
3,0.061364100935558476,0.061364100935558476,0.24644617247200523,0.20394526260594528,58.81411918004354,0.0645496453525442,0.0645496453525442,0.2527094053211794,0.2132095252022599,54.369248505794644,0.0,0.0,0.0
4,0.05939024132676422,0.05939024132676422,0.24210790196690415,0.20163467849294345,58.31263936360677,0.06876205472332059,0.06876205472332059,0.26066639126430124,0.21892008794979614,54.985333905075535,0.0,0.0,0.0
5,0.056493350646148126,0.056493350646148126,0.236014389117308,0.1958091280112664,57.089922491709395,0.06070162316389156,0.06070162316389156,0.2447587555049314,0.20571107417345047,54.72894691698479,0.0,0.0,0.0
6,0.055029701457048455,0.055029701457048455,0.23307614768224746,0.19257583729922773,56.65982993443807,0.06628345743273244,0.06628345743273244,0.2558225767043202,0.21438949487426065,54.60359931714607,0.0,0.0,0.0
7,0.05424185760008792,0.05424185760008792,0.23130183295947634,0.19103560261428357,56.59735660552978,0.06077364795474392,0.06077364795474392,0.2449693885962345,0.20655497140956647,54.730750633008554,0.0,0.0,0.0
8,0.05229387717942397,0.05229387717942397,0.22714549342194484,0.1862361450990041,55.45380198160807,0.059719962660561905,0.059719962660561905,0.24283771245922267,0.20440373140754123,54.383027625806406,0.0,0.0,0.0
9,0.05102972670768698,0.05102972670768698,0.22450413249533063,0.1842319053908189,55.06002133687337,0.060671318153088745,0.060671318153088745,0.24485609039411038,0.20585881692893576,53.80719051939069,0.0,0.0,0.0
10,0.049535297555848956,0.049535297555848956,0.22110886825363585,0.18057176743944486,54.41716032028198,0.06375851967569554,0.06375851967569554,0.25089222197919137,0.21074295337453033,55.792178992069125,0.0,0.0,0.0
11,0.047604486967126526,0.047604486967126526,0.21683982374204022,0.1764498818665743,53.6572881380717,0.08264195422331493,0.08264195422331493,0.2854248419223495,0.23393391614610498,56.5801339004979,0.0,0.0,0.0
12,0.04681280106306076,0.04681280106306076,0.21463059765780318,0.17484384290874005,53.4316341082255,0.07347685499398997,0.07347685499398997,0.26908409016262763,0.22058066703153378,55.090047258319274,0.0,0.0,0.0
13,0.045288585514451064,0.045288585514451064,0.2113961717096748,0.17159124612808227,52.76612033843994,0.06636392421117335,0.06636392421117335,0.25596817693973467,0.21399402008815246,55.42426230690696,0.0,0.0,0.0
14,0.04363103397190571,0.04363103397190571,0.2075148010812437,0.16855902920166652,52.13110928535461,0.0752375576870911,0.0752375576870911,0.272374344730952,0.22487545984260965,55.92183396310517,0.0,0.0,0.0
15,0.042681251745671035,0.042681251745671035,0.20517542599010222,0.16633444937566916,51.88046458562215,0.06732651743699204,0.06732651743699204,0.25761365802595704,0.21337432211095636,55.174642909656875,0.0,0.0,0.0
16,0.04114310803512732,0.04114310803512732,0.2016481787661021,0.16253509148955345,50.870426098505654,0.06708742988606294,0.06708742988606294,0.25729833087504,0.21287317257938962,56.38410718513258,0.0,0.0,0.0
17,0.039866167275855936,0.039866167275855936,0.19849404387860037,0.15979349470386903,50.42439657847087,0.07195234744612014,0.07195234744612014,0.2663737861685133,0.2196486061721137,56.95662151683461,0.0,0.0,0.0
18,0.03870211028649161,0.03870211028649161,0.1946265660716347,0.15674670208245517,49.78371968269348,0.07220105454325676,0.07220105454325676,0.26675335801398237,0.2200371747215589,55.86770820617676,0.0,0.0,0.0
19,0.03719826620848229,0.03719826620848229,0.1913293587965872,0.1527689045916001,49.2377534866333,0.07236976210366595,0.07236976210366595,0.26700223352469526,0.22012248183741714,56.62117091092196,0.0,0.0,0.0
20,0.03682855858157078,0.03682855858157078,0.19035524758010083,0.1517553833623727,49.004988257090254,0.08215894109823486,0.08215894109823486,0.284685259155093,0.23388046477780197,57.306824481848516,0.0,0.0,0.0
21,0.0351475798835357,0.0351475798835357,0.1860578532091551,0.1483381487429142,48.20208694140116,0.07940566313989235,0.07940566313989235,0.27972524113714786,0.22852315415035596,56.91002585671165,0.0,0.0,0.0
22,0.03460985828811924,0.03460985828811924,0.18451515729618834,0.1476429086799423,47.89883273442586,0.07995440523055466,0.07995440523055466,0.2807679151848966,0.22917405899726984,57.226225246082656,0.0,0.0,0.0
23,0.03377814445799838,0.03377814445799838,0.18238415138981462,0.14499809313565493,47.34988749821981,0.07681413796363455,0.07681413796363455,0.2753375254383453,0.2263729086879528,57.549791393858015,0.0,0.0,0.0
24,0.033531537853802244,0.033531537853802244,0.18184893117325926,0.14530904398610195,47.476418542861936,0.07811613939702511,0.07811613939702511,0.27755846116313554,0.22732677378437735,57.121516372218274,0.0,0.0,0.0
25,0.03308083803082506,0.03308083803082506,0.18031536254283123,0.14331507086753845,47.21382031440735,0.07551890735824902,0.07551890735824902,0.273022948627981,0.22382866975032922,57.404708457715586,0.0,0.0,0.0
26,0.032354950819474954,0.032354950819474954,0.17816963518812362,0.14162374964604776,46.64889771143596,0.07475845560883031,0.07475845560883031,0.27159394703643724,0.2220078824144421,57.5880354678992,0.0,0.0,0.0
27,0.03218146678991616,0.03218146678991616,0.17792619973634677,0.14047164637595416,46.34115870793661,0.07484448994650986,0.07484448994650986,0.27182328760606467,0.22287683301802838,57.543962478637695,0.0,0.0,0.0
28,0.0315518107265234,0.0315518107265234,0.17592083321819452,0.13870746189107497,46.12798102696737,0.07774243402210149,0.07774243402210149,0.2770179514141372,0.22642448499347223,57.52461069280451,0.0,0.0,0.0
29,0.031695789207393923,0.031695789207393923,0.1768270758056572,0.13988428823649884,46.48939722379048,0.07811754388791142,0.07811754388791142,0.27757832686217565,0.22725074489911398,57.65888190991951,0.0,0.0,0.0
30,0.03180358500685543,0.03180358500685543,0.17694075402002662,0.1400084385027488,46.34024987220764,0.07770968708350803,0.07770968708350803,0.27691319656490326,0.22683267656600836,57.609432625048086,0.0,0.0,0.0
