year,mse,rmse,mae,smape
2022,0.062324668006861914,0.24838797605860433,0.20594661332228603,50.31939416773179
2023,0.06367811538717326,0.2507613719685811,0.2102623538059347,48.52807280596565
2024,0.061507654759813755,0.24630478753936888,0.20682304308694952,48.45938469381893
